City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,coquimbo,-29.9533,-71.3436,17.04,78,86,1.92,CL,1699639703
151,alice springs,-23.7,133.8833,23.75,53,1,7.72,AU,1699639461
152,acapulco de juarez,16.8634,-99.8901,29.99,70,12,2.16,MX,1699639517
153,mana,5.6592,-53.7767,29.89,68,50,5.47,GF,1699639751
154,peniche,39.3558,-9.3811,18.38,91,89,6.39,PT,1699639751
155,upata,8.0086,-62.3989,31.77,43,100,2.9,VE,1699639751
156,kudahuvadhoo,2.6708,72.8944,27.98,78,56,3.89,MV,1699639752
157,wailua homesteads,22.0669,-159.378,25.44,75,20,8.23,US,1699639752
158,kailua-kona,19.6406,-155.9956,27.5,69,40,1.34,US,1699639658
159,la ronge,55.1001,-105.2842,0.18,79,17,4.64,CA,1699639726
160,balasore,21.4942,86.9317,21.84,63,1,1.43,IN,1699639752
161,avarua,-21.2078,-159.775,24.03,94,20,1.54,CK,1699639569
162,keflavik,64.0049,-22.5624,2.24,93,75,4.63,IS,1699639667
163,labytnangi,66.6572,66.4183,-9.86,88,22,2.91,RU,1699639753
164,xinqing,48.2333,129.5,-17.41,100,92,1.59,CN,1699639753
165,port mathurin,-19.6833,63.4167,25.12,79,15,5.32,MU,1699639753
166,colonia,50.9333,6.95,9.42,82,0,4.12,DE,1699639583
167,raton,36.9034,-104.4391,9.19,53,0,3.09,US,1699639754
168,smara,26.7384,-11.6719,27.22,24,23,5.33,EH,1699639754
169,fairfield,41.2668,-73.3162,10.77,52,100,4.12,US,1699639569
170,brokopondo,4.75,-55.1667,33.76,44,46,1.72,SR,1699639754
171,lorengau,-2.0226,147.2712,26.58,86,100,4.3,PG,1699639754
172,morehead,37.2711,-87.1764,14.92,48,0,2.06,US,1699639754
173,dhidhdhoo,6.8833,73.1,28.46,77,88,5.46,MV,1699639755
174,atafu village,-8.5421,-172.5159,29.04,72,64,5.94,TK,1699639755
175,palikir - national government center,6.9248,158.1611,27.91,75,59,4.43,FM,1699639755
176,ribeira grande,38.5167,-28.7,21.22,94,75,10.73,PT,1699639619
177,lodwar,3.1191,35.5973,30.3,41,50,8.06,KE,1699639755
178,vanimo,-2.6741,141.3028,25.62,91,80,3.64,PG,1699639756
179,puerto ayora,-0.7393,-90.3518,28.98,87,93,5.36,EC,1699639756
180,satsuma,30.8532,-88.0561,24.66,77,100,2.06,US,1699639756
181,ketchikan,55.3422,-131.6461,5.19,87,100,10.29,US,1699639756
182,mejit,10.2753,170.8646,27.93,82,86,8.04,MH,1699639757
183,sheridan,44.8333,-106.9173,9.7,64,0,0.0,US,1699638940
184,inhambane,-23.865,35.3833,20.94,72,18,3.53,MZ,1699639757
185,tazovsky,67.4667,78.7,-6.67,92,65,5.77,RU,1699639757
186,rikaze,29.25,88.8833,1.02,51,0,1.22,CN,1699639757
187,prince george,53.9166,-122.753,5.14,72,40,1.79,CA,1699639758
188,porto novo,6.4965,2.6036,27.48,79,85,3.97,BJ,1699639758
189,kyzyl-mazhalyk,51.1333,90.6,-10.61,97,96,0.89,RU,1699639758
190,dukhan,25.4297,50.7858,27.47,65,81,4.84,QA,1699639758
191,la'ie,21.6477,-157.9253,26.73,74,23,2.68,US,1699639721
192,al kharijah,25.4514,30.5464,27.27,35,10,4.31,EG,1699639647
193,tabas,33.5959,56.9244,18.47,29,8,0.63,IR,1699639758
194,lethem,3.3803,-59.7968,36.86,31,42,3.67,GY,1699639759
195,aden,12.7794,45.0367,27.59,69,1,5.4,YE,1699639759
196,tadine,-21.55,167.8833,20.82,72,51,6.38,NC,1699639759
197,kayangel,8.0823,134.7173,28.74,78,97,5.7,PW,1699639759
198,alofi,-19.0595,-169.9187,24.94,94,100,2.57,NU,1699639760
199,vila nova de foz coa,41.0637,-7.2039,12.52,92,100,4.85,PT,1699639760
200,college,64.8569,-147.8028,-6.42,88,75,1.54,US,1699639680
201,canmore,51.0834,-115.3521,4.34,68,76,3.49,CA,1699639636
202,aketi,2.7388,23.7833,22.86,97,98,0.47,CD,1699639760
203,susuman,62.7833,148.1667,-30.35,98,75,0.22,RU,1699639761
204,trenggalek,-8.05,111.7167,24.01,91,94,0.9,ID,1699639761
205,banda aceh,5.5577,95.3222,26.19,85,99,2.75,ID,1699639669
206,goba,7.0167,39.9833,9.09,92,51,1.56,ET,1699639761
207,fort bragg,35.139,-79.006,25.08,65,75,6.17,US,1699639761
208,goundam,16.4145,-3.6708,31.81,13,50,3.37,ML,1699639762
209,puerto quijarro,-17.7833,-57.7667,42.18,18,51,3.75,BO,1699639762
210,nyurba,63.2842,118.3319,-19.5,100,93,1.77,RU,1699639762
211,kaspiyskiy,45.3929,47.3707,9.51,56,7,4.98,RU,1699639762
212,petrila,45.45,23.4167,4.28,80,100,2.3,RO,1699639762
213,bucerias,20.75,-105.3333,31.1,70,75,4.12,MX,1699639694
214,mahibadhoo,3.7833,72.9667,28.06,76,93,2.73,MV,1699639763
215,santa cruz,-17.8,-63.1667,38.03,37,20,10.8,BO,1699639507
216,axim,4.8699,-2.2405,26.84,83,75,4.35,GH,1699639763
217,topki,55.2769,85.6163,0.89,98,100,2.44,RU,1699639763
218,cam ranh,11.9214,109.1591,25.98,100,40,1.54,VN,1699639763
219,nar'yan-mar,67.6713,53.087,-8.83,93,20,3.13,RU,1699639672
220,kingston,17.997,-76.7936,30.12,51,45,2.98,JM,1699639764
221,brookings,44.3114,-96.7984,2.25,76,100,2.06,US,1699639764
